ábaco	á.ba.co	[á].ba.co
psicopedagógicas	p.si.co.pe.da.gó.gi.cas	p.si.co.pe.da.[gó].gi.cas
psicopedagógico	p.si.co.pe.da.gó.gi.co	p.si.co.pe.da.[gó].gi.co
psicossociológica	p.si.co.sso.cio.ló.gi.ca	p.si.co.sso.cio.[ló].gi.ca
psicossomáticos	p.si.co.sso.má.ti.cos	p.si.co.sso.[má].ti.cos
psicotécnico	p.si.co.téc.ni.co	p.si.co.[téc].ni.co
psicotécnicos	p.si.co.téc.ni.cos	p.si.co.[téc].ni.cos
psicoterápico	p.si.co.te.rá.pi.co	p.si.co.te.[rá].pi.co
psicótico	p.si.có.ti.co	p.si.[có].ti.co
psicóticos	p.si.có.ti.cos	p.si.[có].ti.cos
psicotrópicas	p.si.co.tró.pi.cas	p.si.co.[tró].pi.cas
psicrométrica	p.si.cro.mé.tri.ca	p.si.cro.[mé].tri.ca
psicrômetro	p.si.crô.me.tro	p.si.[crô].me.tro
psiquiátrica	p.si.qu.i.á.tri.ca	p.si.qu.i.[á].tri.ca
psiquiátricas	p.si.qu.i.á.tri.cas	p.si.qu.i.[á].tri.cas
psiquiátrico	p.si.qu.i.á.tri.co	p.si.qu.i.[á].tri.co
psiquiátricos	p.si.qu.i.á.tri.cos	p.si.qu.i.[á].tri.cos
psíquica	p.sí.qui.ca	p.[sí].qui.ca
psíquicas	p.sí.qui.cas	p.[sí].qui.cas
psíquico	p.sí.qui.co	p.[sí].qui.co
psíquicos	p.sí.qui.cos	p.[sí].qui.cos
pteridófitas	p.te.ri.dó.fi.tas	p.te.ri.[dó].fi.tas
púbere	pú.be.re	[pú].be.re
pública	pú.bli.ca	[pú].bli.ca
públicas	pú.bli.cas	[pú].bli.cas
público	pú.bli.co	[pú].bli.co
públicos	pú.bli.cos	[pú].bli.cos
pudéssemos	pu.dé.sse.mos	pu.[dé].sse.mos
púdica	pú.di.ca	[pú].di.ca
puérpera	pu.ér.pe.ra	pu.[ér].pe.ra
puérperas	pu.ér.pe.ras	pu.[ér].pe.ras
pulôveres	pu.lô.ve.res	pu.[lô].ve.res
púlpito	púl.pi.to	[púl].pi.to
púlpitos	púl.pi.tos	[púl].pi.tos
pulverizássemos	pul.ve.ri.zá.sse.mos	pul.ve.ri.[zá].sse.mos
púnhamos	pú.nha.mos	[pú].nha.mos
púnica	pú.ni.ca	[pú].ni.ca
púrpura	púr.pu.ra	[púr].pu.ra
pusilânime	pu.si.lâ.ni.me	pu.si.[lâ].ni.me
quadragésima	quad.ragésima	quad.[ragésima]
quadrática	quad.rática	quad.[rática]
quadrático	quad.rático	quad.[rático]
quadráticos	quad.ráticos	quad.[ráticos]
quadrilátero	quad.rilátero	quad.[rilátero]
quadrúpedes	quad.rúpedes	quad.[rúpedes]
quântica	quân.tica	[quân].tica
quânticas	quân.ticas	[quân].ticas
quântico	quân.tico	[quân].tico
quânticos	quân.ticos	[quân].ticos
quebrássemos	que.brá.sse.mos	que.[brá].sse.mos
queríamos	que.rí.a.mos	que.[rí].a.mos
queridíssimo	que.ri.dí.ssi.mo	que.ri.[dí].ssi.mo
questionávamos	ques.tionávamos	ques.[tionávamos]
quilométrica	qui.lo.mé.tri.ca	qui.lo.[mé].tri.ca
quilométrico	qui.lo.mé.tri.co	qui.lo.[mé].tri.co
quilômetro	qui.lô.me.tro	qui.[lô].me.tro
quilômetros	qui.lô.me.tros	qui.[lô].me.tros
quimérica	qui.mé.ri.ca	qui.[mé].ri.ca
quiméricas	qui.mé.ri.cas	qui.[mé].ri.cas
quimérico	qui.mé.ri.co	qui.[mé].ri.co
química	quí.mi.ca	[quí].mi.ca
químicas	quí.mi.cas	[quí].mi.cas
químico	quí.mi.co	[quí].mi.co
químicos	quí.mi.cos	[quí].mi.cos
quimioautotrófica	qui.mi.o.au.to.tró.fi.ca	qui.mi.o.au.to.[tró].fi.ca
quimiolitótrofos	qui.mio.li.tó.tro.fos	qui.mio.li.[tó].tro.fos
quimiométricos	qui.mi.o.mé.tri.cos	qui.mi.o.[mé].tri.cos
quimiossintéticas	qui.mio.ssin.té.ti.cas	qui.mio.ssin.[té].ti.cas
quimioterápico	qui.mio.te.rá.pi.co	qui.mio.te.[rá].pi.co
quimioterápicos	qui.mio.te.rá.pi.cos	qui.mio.te.[rá].pi.cos
quíntupla	quín.tupla	[quín].tupla
quíntuplo	quín.tuplo	[quín].tuplo
quiropterocórico	qui.rop.te.ro.có.ri.co	qui.rop.te.ro.[có].ri.co
rábica	rá.bi.ca	[rá].bi.ca
rábicas	rá.bi.cas	[rá].bi.cas
rábico	rá.bi.co	[rá].bi.co
rabínico	ra.bí.ni.co	ra.[bí].ni.co
rábula	rá.bu.la	[rá].bu.la
rábulas	rá.bu.las	[rá].bu.las
radiodiagnóstico	ra.dio.dia.gnós.ti.co	ra.dio.dia.[gnós].ti.co
radioelétricas	ra.di.o.e.lé.tri.cas	ra.di.o.e.[lé].tri.cas
radioelétricos	ra.di.o.e.lé.tri.cos	ra.di.o.e.[lé].tri.cos
radiofármaco	ra.dio.fár.ma.co	ra.dio.[fár].ma.co
radiofármacos	ra.dio.fár.ma.cos	ra.dio.[fár].ma.cos
radiofônica	ra.dio.fô.ni.ca	ra.dio.[fô].ni.ca
radiofônico	ra.dio.fô.ni.co	ra.dio.[fô].ni.co
radiofônicos	ra.dio.fô.ni.cos	ra.dio.[fô].ni.cos
radiofósforo	ra.dio.fós.fo.ro	ra.dio.[fós].fo.ro
radiográfica	ra.dio.grá.fi.ca	ra.dio.[grá].fi.ca
radiográficas	ra.dio.grá.fi.cas	ra.dio.[grá].fi.cas
radioisótopo	ra.di.oi.só.to.po	ra.di.oi.[só].to.po
radioisótopos	ra.di.oi.só.to.pos	ra.di.oi.[só].to.pos
radiológica	ra.dio.ló.gi.ca	ra.dio.[ló].gi.ca
radiológicas	ra.dio.ló.gi.cas	ra.dio.[ló].gi.cas
radiológico	ra.dio.ló.gi.co	ra.dio.[ló].gi.co
radiológicos	ra.dio.ló.gi.cos	ra.dio.[ló].gi.cos
radiométrica	ra.di.o.mé.tri.ca	ra.di.o.[mé].tri.ca
radiométricas	ra.di.o.mé.tri.cas	ra.di.o.[mé].tri.cas
radiométrico	ra.di.o.mé.tri.co	ra.di.o.[mé].tri.co
radiométricos	ra.di.o.mé.tri.cos	ra.di.o.[mé].tri.cos
radiômetro	ra.di.ô.me.tro	ra.di.[ô].me.tro
radioquímica	ra.dio.quí.mi.ca	ra.dio.[quí].mi.ca
radiotécnica	ra.dio.téc.ni.ca	ra.dio.[téc].ni.ca
radiotelegráfica	ra.dio.te.le.grá.fi.ca	ra.dio.te.le.[grá].fi.ca
radioterápicos	ra.dio.te.rá.pi.cos	ra.dio.te.[rá].pi.cos
randômica	ran.dô.mi.ca	ran.[dô].mi.ca
randômicas	ran.dô.mi.cas	ran.[dô].mi.cas
randômico	ran.dô.mi.co	ran.[dô].mi.co
rápida	rá.pi.da	[rá].pi.da
rápidas	rá.pi.das	[rá].pi.das
rapidíssimos	ra.pi.dí.ssi.mos	ra.pi.[dí].ssi.mos
rápido	rá.pi.do	[rá].pi.do
rápidos	rá.pi.dos	[rá].pi.dos
raquítica	ra.quí.ti.ca	ra.[quí].ti.ca
raquíticas	ra.quí.ti.cas	ra.[quí].ti.cas
raquítico	ra.quí.ti.co	ra.[quí].ti.co
raquíticos	ra.quí.ti.cos	ra.[quí].ti.cos
raríssima	ra.rí.ssi.ma	ra.[rí].ssi.ma
raríssimas	ra.rí.ssi.mas	ra.[rí].ssi.mas
raríssimos	ra.rí.ssi.mos	ra.[rí].ssi.mos
realística	rea.lís.ti.ca	rea.[lís].ti.ca
realísticas	rea.lís.ti.cas	rea.[lís].ti.cas
realístico	rea.lís.ti.co	rea.[lís].ti.co
realizávamos	re.a.li.zá.va.mos	re.a.li.[zá].va.mos
reanálise	re.a.ná.li.se	re.a.[ná].li.se
recálculo	re.cál.cu.lo	re.[cál].cu.lo
receberíamos	re.ce.be.rí.a.mos	re.ce.be.[rí].a.mos
recentíssimas	re.cen.tí.ssi.mas	re.cen.[tí].ssi.mas
receptáculo	re.cep.tá.cu.lo	re.cep.[tá].cu.lo
recíproca	re.cí.pro.ca	re.[cí].pro.ca
recíprocas	re.cí.pro.cas	re.[cí].pro.cas
recíproco	re.cí.pro.co	re.[cí].pro.co
recíprocos	re.cí.pro.cos	re.[cí].pro.cos
récitas	ré.ci.tas	[ré].ci.tas
recôncavo	re.côn.ca.vo	re.[côn].ca.vo
recôndito	re.côn.di.to	re.[côn].di.to
recônditos	re.côn.di.tos	re.[côn].di.tos
reduzidíssima	re.du.zi.dí.ssi.ma	re.du.zi.[dí].ssi.ma
reduzidíssimas	re.du.zi.dí.ssi.mas	re.du.zi.[dí].ssi.mas
reduzidíssimo	re.du.zi.dí.ssi.mo	re.du.zi.[dí].ssi.mo
refinadíssimo	re.fi.na.dí.ssi.mo	re.fi.na.[dí].ssi.mo
refratômetro	re.fra.tô.me.tro	re.fra.[tô].me.tro
relâmpago	re.lâm.pa.go	re.[lâm].pa.go
relâmpagos	re.lâm.pa.gos	re.[lâm].pa.gos
relativística	re.la.ti.vís.ti.ca	re.la.ti.[vís].ti.ca
relativísticas	re.la.ti.vís.ti.cas	re.la.ti.[vís].ti.cas
relativístico	re.la.ti.vís.ti.co	re.la.ti.[vís].ti.co
relativísticos	re.la.ti.vís.ti.cos	re.la.ti.[vís].ti.cos
remendávamos	re.men.dá.va.mos	re.men.[dá].va.mos
remotíssima	re.mo.tí.ssi.ma	re.mo.[tí].ssi.ma
reológica	reo.ló.gi.ca	reo.[ló].gi.ca
reológicas	reo.ló.gi.cas	reo.[ló].gi.cas
reológico	reo.ló.gi.co	reo.[ló].gi.co
reológicos	reo.ló.gi.cos	reo.[ló].gi.cos
reopéxico	reo.pé.xi.co	reo.[pé].xi.co
réplica	ré.pli.ca	[ré].pli.ca
réplicas	ré.pli.cas	[ré].pli.cas
repórteres	re.pór.te.res	re.[pór].te.res
reprográfica	re.pro.grá.fi.ca	re.pro.[grá].fi.ca
reprográficas	re.pro.grá.fi.cas	re.pro.[grá].fi.cas
república	re.pú.bli.ca	re.[pú].bli.ca
repúblicas	re.pú.bli.cas	re.[pú].bli.cas
respeitadíssima	res.pei.ta.dí.ssi.ma	res.pei.ta.[dí].ssi.ma
restringíssemos	res.trin.gí.sse.mos	res.trin.[gí].sse.mos
retábulos	re.tá.bu.los	re.[tá].bu.los
retângulo	re.tân.gu.lo	re.[tân].gu.lo
retângulos	re.tân.gu.los	re.[tân].gu.los
rético	ré.ti.co	[ré].ti.co
retícula	re.tí.cu.la	re.[tí].cu.la
retículas	re.tí.cu.las	re.[tí].cu.las
retífica	re.tí.fi.ca	re.[tí].fi.ca
retórica	re.tó.ri.ca	re.[tó].ri.ca
retóricas	re.tó.ri.cas	re.[tó].ri.cas
retórico	re.tó.ri.co	re.[tó].ri.co
retóricos	re.tó.ri.cos	re.[tó].ri.cos
retrógrada	re.tró.gra.da	re.[tró].gra.da
retrógradas	re.tró.gra.das	re.[tró].gra.das
retrógrado	re.tró.gra.do	re.[tró].gra.do
retrógrados	re.tró.gra.dos	re.[tró].gra.dos
reumática	reum.ática	reum.[ática]
reumáticos	reum.áticos	reum.[áticos]
revólveres	re.vól.ve.res	re.[vól].ve.res
ridícula	ri.dí.cu.la	ri.[dí].cu.la
ridículas	ri.dí.cu.las	ri.[dí].cu.las
ridículo	ri.dí.cu.lo	ri.[dí].cu.lo
ridículos	ri.dí.cu.los	ri.[dí].cu.los
rígida	rí.gi.da	[rí].gi.da
rígidas	rí.gi.das	[rí].gi.das
rígido	rí.gi.do	[rí].gi.do
rígidos	rí.gi.dos	[rí].gi.dos
rigorosíssimo	ri.go.ro.sí.ssi.mo	ri.go.ro.[sí].ssi.mo
rigorosíssimos	ri.go.ro.sí.ssi.mos	ri.go.ro.[sí].ssi.mos
riquíssima	ri.quí.ssi.ma	ri.[quí].ssi.ma
riquíssimas	ri.quí.ssi.mas	ri.[quí].ssi.mas
riquíssimo	ri.quí.ssi.mo	ri.[quí].ssi.mo
ríspida	rís.pi.da	[rís].pi.da
ríspidas	rís.pi.das	[rís].pi.das
ríspido	rís.pi.do	[rís].pi.do
rítmica	rít.mi.ca	[rít].mi.ca
rítmicas	rít.mi.cas	[rít].mi.cas
rítmico	rít.mi.co	[rít].mi.co
rítmicos	rít.mi.cos	[rít].mi.cos
ritualística	ri.tu.a.lís.ti.ca	ri.tu.a.[lís].ti.ca
ritualístico	ri.tu.a.lís.ti.co	ri.tu.a.[lís].ti.co
rizóforos	ri.zó.fo.ros	ri.[zó].fo.ros
rizosférico	ri.zos.fé.ri.co	ri.zos.[fé].ri.co
rizotônicas	ri.zo.tô.ni.cas	ri.zo.[tô].ni.cas
robótica	ro.bó.ti.ca	ro.[bó].ti.ca
robótico	ro.bó.ti.co	ro.[bó].ti.co
robóticos	ro.bó.ti.cos	ro.[bó].ti.cos
românica	ro.mâ.ni.ca	ro.[mâ].ni.ca
românicas	ro.mâ.ni.cas	ro.[mâ].ni.cas
românicos	ro.mâ.ni.cos	ro.[mâ].ni.cos
romântica	ro.mân.ti.ca	ro.[mân].ti.ca
românticas	ro.mân.ti.cas	ro.[mân].ti.cas
romântico	ro.mân.ti.co	ro.[mân].ti.co
românticos	ro.mân.ti.cos	ro.[mân].ti.cos
rômulo	rô.mu.lo	[rô].mu.lo
rondonópolis	ron.do.nó.po.lis	ron.do.[nó].po.lis
rosângela	ro.sân.ge.la	ro.[sân].ge.la
rotíferos	ro.tí.fe.ros	ro.[tí].fe.ros
rótulo	ró.tu.lo	[ró].tu.lo
rótulos	ró.tu.los	[ró].tu.los
rúcula	rú.cu.la	[rú].cu.la
rupícola	ru.pí.co.la	ru.[pí].co.la
rústica	rús.ti.ca	[rús].ti.ca
rústicas	rús.ti.cas	[rús].ti.cas
rústico	rús.ti.co	[rús].ti.co
rústicos	rús.ti.cos	[rús].ti.cos
sábado	sá.ba.do	[sá].ba.do
sábados	sá.ba.dos	[sá].ba.dos
sabático	sa.bá.ti.co	sa.[bá].ti.co
sábato	sá.ba.to	[sá].ba.to
sabíamos	sa.bí.a.mos	sa.[bí].a.mos
sádica	sá.di.ca	[sá].di.ca
sádicas	sá.di.cas	[sá].di.cas
sádico	sá.di.co	[sá].di.co
salesópolis	sa.le.só.po.lis	sa.le.[só].po.lis
salomônica	sa.lo.mô.ni.ca	sa.lo.[mô].ni.ca
salomônicas	sa.lo.mô.ni.cas	sa.lo.[mô].ni.cas
sambódromo	sam.bó.dro.mo	sam.[bó].dro.mo
sânscrito	sâns.cri.to	[sâns].cri.to
santíssimo	san.tí.ssi.mo	san.[tí].ssi.mo
santópolis	san.tó.po.lis	san.[tó].po.lis
saprofágicos	sa.pro.fá.gi.cos	sa.pro.[fá].gi.cos
saprófagos	sa.pró.fa.gos	sa.[pró].fa.gos
saprófitas	sa.pró.fi.tas	sa.[pró].fi.tas
saprófitos	sa.pró.fi.tos	sa.[pró].fi.tos
saprotróficos	sa.pro.tró.fi.cos	sa.pro.[tró].fi.cos
saprótrofo	sa.pró.tro.fo	sa.[pró].tro.fo
saprótrofos	sa.pró.tro.fos	sa.[pró].tro.fos
sarcástica	sar.cás.ti.ca	sar.[cás].ti.ca
sarcástico	sar.cás.ti.co	sar.[cás].ti.co
sarcófagos	sar.có.fa.gos	sar.[có].fa.gos
satânica	sa.tâ.ni.ca	sa.[tâ].ni.ca
satânico	sa.tâ.ni.co	sa.[tâ].ni.co
satélite	sa.té.li.te	sa.[té].li.te
satélites	sa.té.li.tes	sa.[té].li.tes
sátira	sá.ti.ra	[sá].ti.ra
sátiras	sá.ti.ras	[sá].ti.ras
satíricas	sa.tí.ri.cas	sa.[tí].ri.cas
satírico	sa.tí.ri.co	sa.[tí].ri.co
satíricos	sa.tí.ri.cos	sa.[tí].ri.cos
sátiro	sá.ti.ro	[sá].ti.ro
satisfeitíssimos	sa.tis.fei.tí.ssi.mos	sa.tis.fei.[tí].ssi.mos
saurópode	sau.ró.po.de	sau.[ró].po.de
sautrânkitas	sau.trânkitas	sau.[trânkitas]
saxônica	sa.xô.ni.ca	sa.[xô].ni.ca
saxônicos	sa.xô.ni.cos	sa.[xô].ni.cos
sebastianópolis	se.bas.ti.a.nó.po.lis	se.bas.ti.a.[nó].po.lis
século	sé.cu.lo	[sé].cu.lo
séculos	sé.cu.los	[sé].cu.los
sedígrafo	se.dí.gra.fo	se.[dí].gra.fo
sedimentológicas	se.di.men.to.ló.gi.cas	se.di.men.to.[ló].gi.cas
seguiríamos	se.gui.rí.a.mos	se.gui.[rí].a.mos
semáforo	se.má.fo.ro	se.[má].fo.ro
semáforos	se.má.fo.ros	se.[má].fo.ros
semântica	se.mân.ti.ca	se.[mân].ti.ca
semânticas	se.mân.ti.cas	se.[mân].ti.cas
semântico	se.mân.ti.co	se.[mân].ti.co
semânticos	se.mân.ti.cos	se.[mân].ti.cos
semiárido	se.mi.á.ri.do	se.mi.[á].ri.do
semiautomático	se.mi.au.to.má.ti.co	se.mi.au.to.[má].ti.co
sêmica	sê.mi.ca	[sê].mi.ca
semicírculo	se.mi.cír.cu.lo	se.mi.[cír].cu.lo
sêmico	sê.mi.co	[sê].mi.co
semidesértica	se.mi.de.sér.ti.ca	se.mi.de.[sér].ti.ca
semilogarítmico	se.mi.lo.ga.rít.mi.co	se.mi.lo.ga.[rít].mi.co
semióloga	se.mi.ó.lo.ga	se.mi.[ó].lo.ga
semiólogo	se.mi.ó.lo.go	se.mi.[ó].lo.go
semiótica	se.mi.ó.ti.ca	se.mi.[ó].ti.ca
semióticas	se.mi.ó.ti.cas	se.mi.[ó].ti.cas
semiótico	se.mi.ó.ti.co	se.mi.[ó].ti.co
semiperiféricas	se.mi.pe.ri.fé.ri.cas	se.mi.pe.ri.[fé].ri.cas
semiperiféricos	se.mi.pe.ri.fé.ri.cos	se.mi.pe.ri.[fé].ri.cos
semiquântico	se.mi.quân.ti.co	se.mi.[quân].ti.co
semítica	se.mí.ti.ca	se.[mí].ti.ca
semíticas	se.mí.ti.cas	se.[mí].ti.cas
semítico	se.mí.ti.co	se.[mí].ti.co
sentíamos	sen.tí.a.mos	sen.[tí].a.mos
sentíssemos	sen.tí.sse.mos	sen.[tí].sse.mos
séptica	sép.ti.ca	[sép].ti.ca
sépticas	sép.ti.cas	[sép].ti.cas
séptico	sép.ti.co	[sép].ti.co
sépticos	sép.ti.cos	[sép].ti.cos
sepúlveda	se.púl.ve.da	se.[púl].ve.da
séquito	sé.qui.to	[sé].qui.to
sereníssima	se.re.ní.ssi.ma	se.re.[ní].ssi.ma
seríamos	se.rí.a.mos	se.[rí].a.mos
séricos	sé.ri.cos	[sé].ri.cos
serigráfica	se.ri.grá.fi.ca	se.ri.[grá].fi.ca
serigráficas	se.ri.grá.fi.cas	se.ri.[grá].fi.cas
serigráfico	se.ri.grá.fi.co	se.ri.[grá].fi.co
serigráficos	se.ri.grá.fi.cos	se.ri.[grá].fi.cos
seríssimas	se.rí.ssi.mas	se.[rí].ssi.mas
seropédica	se.ro.pé.di.ca	se.ro.[pé].di.ca
sétima	sé.ti.ma	[sé].ti.ma
sétimo	sé.ti.mo	[sé].ti.mo
siderúrgica	si.de.rúr.gi.ca	si.de.[rúr].gi.ca
siderúrgicas	si.de.rúr.gi.cas	si.de.[rúr].gi.cas
siderúrgico	si.de.rúr.gi.co	si.de.[rúr].gi.co
sífilis	sí.fi.lis	[sí].fi.lis
sifilítica	si.fi.lí.ti.ca	si.fi.[lí].ti.ca
sígnica	síg.ni.ca	[síg].ni.ca
sígnico	síg.ni.co	[síg].ni.co
sílaba	sí.la.ba	[sí].la.ba
sílabas	sí.la.bas	[sí].la.bas
silábica	si.lá.bi.ca	si.[lá].bi.ca
silábicas	si.lá.bi.cas	si.[lá].bi.cas
silábico	si.lá.bi.co	si.[lá].bi.co
silábicos	si.lá.bi.cos	si.[lá].bi.cos
sílica	sí.li.ca	[sí].li.ca
silicática	si.li.cá.ti.ca	si.li.[cá].ti.ca
silicáticas	si.li.cá.ti.cas	si.li.[cá].ti.cas
sílice	sí.li.ce	[sí].li.ce
sílico	sí.li.co	[sí].li.co
silogística	si.lo.gís.ti.ca	si.lo.[gís].ti.ca
silvícola	sil.ví.co.la	sil.[ví].co.la
silvícolas	sil.ví.co.las	sil.[ví].co.las
simbiótica	sim.bi.ó.ti.ca	sim.bi.[ó].ti.ca
simbióticas	sim.bi.ó.ti.cas	sim.bi.[ó].ti.cas
simbióticos	sim.bi.ó.ti.cos	sim.bi.[ó].ti.cos
simbólica	sim.bó.li.ca	sim.[bó].li.ca
simbólicas	sim.bó.li.cas	sim.[bó].li.cas
simbólico	sim.bó.li.co	sim.[bó].li.co
simbólicos	sim.bó.li.cos	sim.[bó].li.cos
símbolo	sím.bo.lo	[sím].bo.lo
símbolos	sím.bo.los	[sím].bo.los
simétrica	si.mé.tri.ca	si.[mé].tri.ca
simétricas	si.mé.tri.cas	si.[mé].tri.cas
simétrico	si.mé.tri.co	si.[mé].tri.co
simétricos	si.mé.tri.cos	si.[mé].tri.cos
símile	sí.mi.le	[sí].mi.le
símiles	sí.mi.les	[sí].mi.les
simpática	sim.pá.ti.ca	sim.[pá].ti.ca
simpáticas	sim.pá.ti.cas	sim.[pá].ti.cas
simpático	sim.pá.ti.co	sim.[pá].ti.co
simpáticos	sim.pá.ti.cos	sim.[pá].ti.cos
simpátrica	sim.pá.tri.ca	sim.[pá].tri.ca
sinápsidos	si.náp.si.dos	si.[náp].si.dos
sináptica	si.náp.ti.ca	si.[náp].ti.ca
sincategoremáticos	sin.ca.te.go.re.má.ti.cos	sin.ca.te.go.re.[má].ti.cos
síncrona	sín.cro.na	[sín].cro.na
sincrônica	sin.crô.ni.ca	sin.[crô].ni.ca
sincrônicas	sin.crô.ni.cas	sin.[crô].ni.cas
sincrônico	sin.crô.ni.co	sin.[crô].ni.co
sincrônicos	sin.crô.ni.cos	sin.[crô].ni.cos
síncrono	sín.cro.no	[sín].cro.no
síncroton	sín.cro.ton	[sín].cro.ton
síncrotron	sín.cro.tron	[sín].cro.tron
síndico	sín.di.co	[sín].di.co
sindiotático	sin.dio.tá.ti.co	sin.dio.[tá].ti.co
síndrome	sín.dro.me	[sín].dro.me
síndromes	sín.dro.mes	[sín].dro.mes
sindrômicos	sin.drô.mi.cos	sin.[drô].mi.cos
sinergéticas	si.ner.gé.ti.cas	si.ner.[gé].ti.cas
sinergético	si.ner.gé.ti.co	si.ner.[gé].ti.co
sinérgico	si.nér.gi.co	si.[nér].gi.co
sinérgicos	si.nér.gi.cos	si.[nér].gi.cos
sínfise	sín.fi.se	[sín].fi.se
sinfônica	sin.fô.ni.ca	sin.[fô].ni.ca
sinfônicas	sin.fô.ni.cas	sin.[fô].ni.cas
sinfônico	sin.fô.ni.co	sin.[fô].ni.co
sinfônicos	sin.fô.ni.cos	sin.[fô].ni.cos
sínodos	sí.no.dos	[sí].no.dos
sinólogo	si.nó.lo.go	si.[nó].lo.go
sinônima	si.nô.ni.ma	si.[nô].ni.ma
sinônimas	si.nô.ni.mas	si.[nô].ni.mas
sinonímicas	si.no.ní.mi.cas	si.no.[ní].mi.cas
sinônimo	si.nô.ni.mo	si.[nô].ni.mo
sinônimos	si.nô.ni.mos	si.[nô].ni.mos
sinótica	si.nó.ti.ca	si.[nó].ti.ca
sintagmática	sin.tag.má.ti.ca	sin.tag.[má].ti.ca
sintagmáticas	sin.tag.má.ti.cas	sin.tag.[má].ti.cas
sintagmático	sin.tag.má.ti.co	sin.tag.[má].ti.co
sintagmáticos	sin.tag.má.ti.cos	sin.tag.[má].ti.cos
sintática	sin.tá.ti.ca	sin.[tá].ti.ca
sintáticas	sin.tá.ti.cas	sin.[tá].ti.cas
sintático	sin.tá.ti.co	sin.[tá].ti.co
sintáticos	sin.tá.ti.cos	sin.[tá].ti.cos
síntese	sín.te.se	[sín].te.se
sínteses	sín.te.ses	[sín].te.ses
sintética	sin.té.ti.ca	sin.[té].ti.ca
sintéticas	sin.té.ti.cas	sin.[té].ti.cas
sintético	sin.té.ti.co	sin.[té].ti.co
sintéticos	sin.té.ti.cos	sin.[té].ti.cos
síntipos	sín.ti.pos	[sín].ti.pos
sintomática	sin.to.má.ti.ca	sin.to.[má].ti.ca
sintomático	sin.to.má.ti.co	sin.to.[má].ti.co
sintomáticos	sin.to.má.ti.cos	sin.to.[má].ti.cos
sísifo	sí.si.fo	[sí].si.fo
sísmica	sís.mi.ca	[sís].mi.ca
sísmicas	sís.mi.cas	[sís].mi.cas
sísmico	sís.mi.co	[sís].mi.co
sísmicos	sís.mi.cos	[sís].mi.cos
sismógrafo	sis.mó.gra.fo	sis.[mó].gra.fo
sismógrafos	sis.mó.gra.fos	sis.[mó].gra.fos
sismólogo	sis.mó.lo.go	sis.[mó].lo.go
sistemática	sis.te.má.ti.ca	sis.te.[má].ti.ca
sistemáticas	sis.te.má.ti.cas	sis.te.[má].ti.cas
sistemático	sis.te.má.ti.co	sis.te.[má].ti.co
sistemáticos	sis.te.má.ti.cos	sis.te.[má].ti.cos
sistêmica	sis.tê.mi.ca	sis.[tê].mi.ca
sistêmicas	sis.tê.mi.cas	sis.[tê].mi.cas
sistêmico	sis.tê.mi.co	sis.[tê].mi.co
sistêmicos	sis.tê.mi.cos	sis.[tê].mi.cos
sistólica	sis.tó.li.ca	sis.[tó].li.ca
sociodemográfico	so.cio.de.mo.grá.fi.co	so.cio.de.mo.[grá].fi.co
sociodemográficos	so.cio.de.mo.grá.fi.cos	so.cio.de.mo.[grá].fi.cos
socioeconômica	so.ci.o.e.co.nô.mi.ca	so.ci.o.e.co.[nô].mi.ca
socioeconômicas	so.ci.o.e.co.nô.mi.cas	so.ci.o.e.co.[nô].mi.cas
socioeconômico	so.ci.o.e.co.nô.mi.co	so.ci.o.e.co.[nô].mi.co
socioeconômicos	so.ci.o.e.co.nô.mi.cos	so.ci.o.e.co.[nô].mi.cos
socioideológica	so.ci.oi.deo.ló.gi.ca	so.ci.oi.deo.[ló].gi.ca
sociolingüística	so.cio.lin.gü.ís.ti.ca	so.cio.lin.gü.[ís].ti.ca
socióloga	so.ci.ó.lo.ga	so.ci.[ó].lo.ga
sociológica	so.cio.ló.gi.ca	so.cio.[ló].gi.ca
sociológicas	so.cio.ló.gi.cas	so.cio.[ló].gi.cas
sociológico	so.cio.ló.gi.co	so.cio.[ló].gi.co
sociológicos	so.cio.ló.gi.cos	so.cio.[ló].gi.cos
sociólogo	so.ci.ó.lo.go	so.ci.[ó].lo.go
sociólogos	so.ci.ó.lo.gos	so.ci.[ó].lo.gos
sociopedagógica	so.cio.pe.da.gó.gi.ca	so.cio.pe.da.[gó].gi.ca
sociopolítica	so.cio.po.lí.ti.ca	so.cio.po.[lí].ti.ca
sociopolíticas	so.cio.po.lí.ti.cas	so.cio.po.[lí].ti.cas
sociopolítico	so.cio.po.lí.ti.co	so.cio.po.[lí].ti.co
sociopolíticos	so.cio.po.lí.ti.cos	so.cio.po.[lí].ti.cos
sócrates	só.cra.tes	[só].cra.tes
socráticos	so.crá.ti.cos	so.[crá].ti.cos
sódica	só.di.ca	[só].di.ca
sódico	só.di.co	[só].di.co
sódicos	só.di.cos	[só].di.cos
sofística	so.fís.ti.ca	so.[fís].ti.ca
sofisticadíssimos	so.fis.ti.ca.dí.ssi.mos	so.fis.ti.ca.[dí].ssi.mos
sófocles	só.fo.cles	[só].fo.cles
solícita	so.lí.ci.ta	so.[lí].ci.ta
solícito	so.lí.ci.to	so.[lí].ci.to
sólida	só.li.da	[só].li.da
sólidas	só.li.das	[só].li.das
solidíssima	so.li.dí.ssi.ma	so.li.[dí].ssi.ma
sólido	só.li.do	[só].li.do
