ábaco	á.ba.co	[á].ba.co
antígeno	an.tí.ge.no	an.[tí].ge.no
antígenos	an.tí.ge.nos	an.[tí].ge.nos
antígona	an.tí.go.na	an.[tí].go.na
antijurídico	an.ti.ju.rí.di.co	an.ti.ju.[rí].di.co
antílope	an.tí.lo.pe	an.[tí].lo.pe
antílopes	an.tí.lo.pes	an.[tí].lo.pes
antimicótico	an.ti.mi.có.ti.co	an.ti.mi.[có].ti.co
antineoplásica	an.ti.neo.plá.si.ca	an.ti.neo.[plá].si.ca
antineoplásicos	an.ti.neo.plá.si.cos	an.ti.neo.[plá].si.cos
antinômico	an.ti.nô.mi.co	an.ti.[nô].mi.co
antiofídico	an.tio.fí.di.co	an.tio.[fí].di.co
antiofídicos	an.tio.fí.di.cos	an.tio.[fí].di.cos
antióperas	an.ti.ó.pe.ras	an.ti.[ó].pe.ras
antipalúdicas	an.ti.pa.lú.di.cas	an.ti.pa.[lú].di.cas
antipartículas	an.ti.par.tí.cu.las	an.ti.par.[tí].cu.las
antipático	an.ti.pá.ti.co	an.ti.[pá].ti.co
antipatriótica	an.ti.pa.tri.ó.ti.ca	an.ti.pa.tri.[ó].ti.ca
antiperiódicas	an.ti.pe.ri.ó.di.cas	an.ti.pe.ri.[ó].di.cas
antípoda	an.tí.po.da	an.[tí].po.da
antípodas	an.tí.po.das	an.[tí].po.das
antiqüíssima	an.ti.qü.í.ssi.ma	an.ti.qü.[í].ssi.ma
antiquíssimo	an.ti.quí.ssi.mo	an.ti.[quí].ssi.mo
antiqüíssimos	an.ti.qü.í.ssi.mos	an.ti.qü.[í].ssi.mos
antirrábica	an.ti.rrá.bi.ca	an.ti.[rrá].bi.ca
antisséptico	an.ti.ssép.ti.co	an.ti.[ssép].ti.co
antítese	an.tí.te.se	an.[tí].te.se
antíteses	an.tí.te.ses	an.[tí].te.ses
antitetânica	an.ti.te.tâ.ni.ca	an.ti.te.[tâ].ni.ca
antitetânicas	an.ti.te.tâ.ni.cas	an.ti.te.[tâ].ni.cas
antitetânico	an.ti.te.tâ.ni.co	an.ti.te.[tâ].ni.co
antitrombótico	an.ti.trom.bó.ti.co	an.ti.trom.[bó].ti.co
antitrombóticos	an.ti.trom.bó.ti.cos	an.ti.trom.[bó].ti.cos
antivariólica	an.ti.va.ri.ó.li.ca	an.ti.va.ri.[ó].li.ca
antológica	an.to.ló.gi.ca	an.to.[ló].gi.ca
antológicas	an.to.ló.gi.cas	an.to.[ló].gi.cas
antológico	an.to.ló.gi.co	an.to.[ló].gi.co
antonângelo	an.to.nân.ge.lo	an.to.[nân].ge.lo
antônimas	an.tô.ni.mas	an.[tô].ni.mas
antônimo	an.tô.ni.mo	an.[tô].ni.mo
antônimos	an.tô.ni.mos	an.[tô].ni.mos
antrópica	an.tró.pi.ca	an.[tró].pi.ca
antrópicas	an.tró.pi.cas	an.[tró].pi.cas
antrópico	an.tró.pi.co	an.[tró].pi.co
antropocêntrica	an.tro.po.cên.tri.ca	an.tro.po.[cên].tri.ca
antropocêntrico	an.tro.po.cên.tri.co	an.tro.po.[cên].tri.co
antropofágica	an.tro.po.fá.gi.ca	an.tro.po.[fá].gi.ca
antropofágico	an.tro.po.fá.gi.co	an.tro.po.[fá].gi.co
antropófago	an.tro.pó.fa.go	an.tro.[pó].fa.go
antropófagos	an.tro.pó.fa.gos	an.tro.[pó].fa.gos
antropófila	an.tro.pó.fi.la	an.tro.[pó].fi.la
antropofílica	an.tro.po.fí.li.ca	an.tro.po.[fí].li.ca
antropogênico	an.tro.po.gê.ni.co	an.tro.po.[gê].ni.co
antropóloga	an.tro.pó.lo.ga	an.tro.[pó].lo.ga
antropológica	an.tro.po.ló.gi.ca	an.tro.po.[ló].gi.ca
antropológicas	an.tro.po.ló.gi.cas	an.tro.po.[ló].gi.cas
antropológico	an.tro.po.ló.gi.co	an.tro.po.[ló].gi.co
antropológicos	an.tro.po.ló.gi.cos	an.tro.po.[ló].gi.cos
antropólogo	an.tro.pó.lo.go	an.tro.[pó].lo.go
antropólogos	an.tro.pó.lo.gos	an.tro.[pó].lo.gos
antropométrica	an.tro.po.mé.tri.ca	an.tro.po.[mé].tri.ca
antropomórfica	an.tro.po.mór.fi.ca	an.tro.po.[mór].fi.ca
antropomórfico	an.tro.po.mór.fi.co	an.tro.po.[mór].fi.co
antropozoonótica	an.tro.po.zo.o.nó.ti.ca	an.tro.po.zo.o.[nó].ti.ca
aórgico	a.ór.gi.co	a.[ór].gi.co
aórtica	a.ór.ti.ca	a.[ór].ti.ca
apática	a.pá.ti.ca	a.[pá].ti.ca
apáticas	a.pá.ti.cas	a.[pá].ti.cas
apático	a.pá.ti.co	a.[pá].ti.co
apáticos	a.pá.ti.cos	a.[pá].ti.cos
apêndice	a.pên.di.ce	a.[pên].di.ce
apêndices	a.pên.di.ces	a.[pên].di.ces
aperiódicas	a.pe.ri.ó.di.cas	a.pe.ri.[ó].di.cas
ápice	á.pi.ce	[á].pi.ce
ápices	á.pi.ces	[á].pi.ces
aplítico	a.plí.ti.co	a.[plí].ti.co
apocalíptica	a.po.ca.líp.ti.ca	a.po.ca.[líp].ti.ca
apocalípticas	a.po.ca.líp.ti.cas	a.po.ca.[líp].ti.cas
apocalíptico	a.po.ca.líp.ti.co	a.po.ca.[líp].ti.co
apocalípticos	a.po.ca.líp.ti.cos	a.po.ca.[líp].ti.cos
apócrifa	a.pó.cri.fa	a.[pó].cri.fa
apócrifo	a.pó.cri.fo	a.[pó].cri.fo
apócrifos	a.pó.cri.fos	a.[pó].cri.fos
apódose	a.pó.do.se	a.[pó].do.se
apólice	a.pó.li.ce	a.[pó].li.ce
apólices	a.pó.li.ces	a.[pó].li.ces
apolítica	a.po.lí.ti.ca	a.po.[lí].ti.ca
apolítico	a.po.lí.ti.co	a.po.[lí].ti.co
apolíticos	a.po.lí.ti.cos	a.po.[lí].ti.cos
apologética	a.po.lo.gé.ti.ca	a.po.lo.[gé].ti.ca
apólogo	a.pó.lo.go	a.[pó].lo.go
apoplético	a.po.plé.ti.co	a.po.[plé].ti.co
apóstata	a.pós.ta.ta	a.[pós].ta.ta
apóstola	a.pós.to.la	a.[pós].to.la
apóstolo	a.pós.to.lo	a.[pós].to.lo
